Month,Active Lenders
2006-06-01,166
2006-07-01,266
2006-08-01,221
2006-09-01,276
2006-10-01,411
2006-11-01,5074
2006-12-01,6804
2007-01-01,5724
2007-02-01,4175
2007-03-01,7577
2007-04-01,12306
2007-05-01,8851
2007-06-01,10995
2007-07-01,9558
2007-08-01,10367
2007-09-01,21240
2007-10-01,17633
2007-11-01,19762
2007-12-01,33019
2008-01-01,33977
2008-02-01,24788
2008-03-01,25095
2008-04-01,26213
2008-05-01,28502
2008-06-01,28381
2008-07-01,28969
2008-08-01,32913
2008-09-01,31770
2008-10-01,35797
2008-11-01,25466
2008-12-01,45170
2009-01-01,42534
2009-02-01,44829
2009-03-01,46993
2009-04-01,48431
2009-05-01,48483
2009-06-01,50561
2009-07-01,49611
2009-08-01,53687
2009-09-01,48067
2009-10-01,60252
2009-11-01,55895
2009-12-01,74893
2010-01-01,62950
2010-02-01,54373
2010-03-01,61393
2010-04-01,59015
2010-05-01,58357
2010-06-01,59241
2010-07-01,65593
2010-08-01,61605
2010-09-01,62287
2010-10-01,68825
2010-11-01,70489
2010-12-01,83976
2011-01-01,74774
2011-02-01,68641
2011-03-01,74874
2011-04-01,71475
2011-05-01,72265
2011-06-01,78833
2011-07-01,80624
2011-08-01,93553
2011-09-01,82265
2011-10-01,67103
2011-11-01,92902
2011-12-01,113465
2012-01-01,104602
2012-02-01,83165
2012-03-01,120217
2012-04-01,88545
2012-05-01,99759
2012-06-01,97645
2012-07-01,95558
2012-08-01,108287
2012-09-01,97808
2012-10-01,97275
2012-11-01,97094
2012-12-01,113225
2013-01-01,92060
2013-02-01,82581
2013-03-01,118890
2013-04-01,96771
2013-05-01,98553
2013-06-01,89424
2013-07-01,101451
2013-08-01,95797
2013-09-01,93330
2013-10-01,97207
2013-11-01,94071
2013-12-01,116438
2014-01-01,115019
2014-02-01,106392
2014-03-01,152379
2014-04-01,97886
2014-05-01,102690
2014-06-01,110330
2014-07-01,107890
2014-08-01,88988
2014-09-01,98881
2014-10-01,104432
2014-11-01,86673
2014-12-01,112546
2015-01-01,94144
2015-02-01,85027
2015-03-01,113435
2015-04-01,96437
2015-05-01,95615
2015-06-01,110905
2015-07-01,94046
2015-08-01,94741
2015-09-01,84884
2015-10-01,82142
2015-11-01,82901
2015-12-01,111996
2016-01-01,86490
2016-02-01,77043
2016-03-01,96293
2016-04-01,123136
2016-05-01,105357
2016-06-01,75423
2016-07-01,79296
2016-08-01,82345
2016-09-01,125964
2016-10-01,87098
2016-11-01,85333
2016-12-01,98713
2017-01-01,87172
2017-02-01,66129
2017-03-01,106344
2017-04-01,65088
2017-05-01,111849
2017-06-01,73930
2017-07-01,37644
